comment,sentiment
相信大家都見到依家街上?文宣少左好多 資訊亦都唔夠新以往大家做文宣?形式係自發同非系統性加上依家做文宣落單好易俾人拉 或者俾藍絲打所以我地呢群人希望將我地一直做?一套野推出去請相信我地係一班專業有經驗?人首先 戴返個頭盔 我地絕對絕對唔會貼文宣或者貼野係街 因為根據公眾?生及市政條例係犯法? 即使我地係網上講要貼文宣都係犯法 OK？大家明白就得 大家都唔好做犯法野首先同大家講一講我地做文宣?四個要點系統性：統一、簡潔、最新及定期地進行地區文宣工作目標性：清晰定立每次行動的目標，達成即散機動性：高效極快速地完全地區文宣工作，避免被捕人數多：以人數達到高效且避免出現單落被攻擊的情況保密性：保密原則優先，避免被捕被襲擊系統性：我地要將自發被動非系統性?文宣工作轉變為主動性系統性?文宣工作。我地會每隔三幾日就揀一?最新?文宣資訊出黎，訂立清晰?框架去每次設定同執行。而且我地要做到統一同資訊?流通，包括一個完整?workflow 實際落手做文宣只係其中一環。我地會用一條完整?value chain去系統性咁做。目標性：每一次行動都會有清晰?計劃同針對個目標，點做、係邊到做、邊個做、做?咩、要幾多人、幾多錢等，成個流程要有清晰?計劃。由於依家好多鬼又好易俾人拉，負責Part A?人唔會同Part B?人接觸到，Part B?人唔會接觸到Part C。最重要係，做完即刻散。咁依期我地會有咩目標要做文宣呢，首先大家要明線下文宣?對象係咩人，係我地呢個同溫層以外?人。三個方向：立法會、警暴、政府。機動性：點解成日有手兄俾人拉俾人打俾人斬，因為唔夠快。就好似黑社會斬人咁，你係條街到俾D仇家見到 人地都要時間吹雞集人。你係佢D人到之前走左，佢仲點斬你？呢Part對於成個行動太重要，所以大家明呢個道理就夠。人數多：承上，大家手就得兩對，點樣可以做得快？一：做少D二：人多好辦事我地選擇後者，但同樣因為太多鬼，我地只會搵可以驗證身份?大學生，而且要一個拉一個。值得一提係我地絕對會捉鬼，唔好睇少我地捉鬼?能力。但要做到系統性咁去做 需要大家真係幫忙。我地講?人多唔係幾廿個人去打仗咁衝出黎，搏拉咩真係。十幾人is enough一個人做要一個鐘，兩個做半個鐘，十個人做五分鐘三分鐘就得。保密性：行動前無人知個計劃，兩個環之間都無需要任何接觸。有人會話我自己印完落街痴都得，係你咁做無問題，我地都支持成效同效率係大家做之前要諗?野一個人做有成效但無效率 一個唔好彩俾人拉埋得不償失加上好多人唔肯真係落手做 咁希望大家可以支持我地或者其他願意落手做?人我地遲D亦都會搞文宣展 希望大家支持最後我地現階段需要三樣野第一：人，大學生 願意一齊繼續為場運動付出 又可以叫得郁身邊朋友?第二：物資：事關我地真係已經好窮，3M噴霧膠 車手 printer 墨水 紙 乜都要第三：錢：都係個句，我地好窮 而且除左文宣我地仲有其他project做緊 serve係錢 黃圈互助工作計劃寫system係錢 個website係錢 印張紙都係錢如果你又唔肯落場，又唔做文宣，又無能力支持我地?，幫手轉發呢篇文出去，幫我地搵D有心人幫手！介紹返我地，我地叫 燕子生命 Swallow Life我地?存在係要起碼做十年 無錯係十年 可以上我地個網了解返 唔係到阻咁多位我地有3大project做緊1. 抗爭十年助學計劃2. 黃圈互助工作計劃3. 文宣全港大行動有興趣可以上我地個網了解多D，捐款捐物資都可以上去暫時比較窮 無錢搞好個website同埋搞payme fps 只係得paypal[url]http://swallowlife.org [/url]聯絡我地：（幫手like個Facebook page同IG thx）Telegram：https://t.me/swallowlifeWhatsApp：+852 9455 8324Instagram：https://www.instagram.com/swallowlifehk/Facebook：https://www.facebook.com/%E7%87%95%E5%AD%90%E7%94%9F%E5%91%BD-Swallow-Life-114575180180030重申多次 要查我地身份好容易 各位手兄唔好搏衰我地 我地唔做犯法野 國安大人警察哥哥唔好拉我地最後係我地?宗旨：?我們希望十年後，當最後一位因暴動而判囚的同伴出獄時，亦有一群人支持他的人生。,0
補返張相 新鮮滾熱辣,1
"借推一下醫護戰線https://lih.kg/1942769
#fight1#dog
#fight1#dog
#fight1#dog",0
自推,1
推,1
"大家唔支持都可以屌下我地
[sosad]",0
#drum#pig#drum#pig#drum#pig,0
?狙擊獅子狗集中討論區?對家越黎越猖狂https://lih.kg/1936402- 分享自 LIHKG 討論區,0
push,1
大家可唔可以幫手like下我地IG同FACEBOOK我地D野推唔到出去,0
